"name","avg_partnum"
"Star Wars Episode 7","219.26"
"Designer Sets","220.07"
"Legends of Chima","221.10"
"Coast Guard","222.38"
"Cargo","224.50"
"Building","224.50"
"Alien Conquest","226.60"
"Star Wars Other","226.79"
"Chamber of Secrets","227.30"
"Atlantis","228.04"
"Classic Basic","228.91"
"Game","230.24"
"Marvel","230.87"
"Cargo","233.75"
"Boat","238.00"
"Fusion","238.00"
"Advent","239.33"
"Ferries","240.07"
"Mission Deep Freeze","240.13"
"Harbor","241.36"
"Freestyle","242.56"
"Dino Attack","245.20"
"Space Police III","246.00"
"Spybiotics","246.75"
"Dark Forest","249.67"
"Train","250.00"
"RoboForce","250.00"
"Expert Builder","252.28"
"Train","253.00"
"Pirates III","254.78"
"Jungle Rescue","259.17"
"Divers","262.44"
"Technic","262.60"
"Basic Set","267.13"
"Guardians of the Galaxy","268.00"
"Arctic","271.10"
"Cargo","272.00"
"Harbor","272.17"
"Coast Guard","273.00"
"Universal Building Set","273.43"
"Star Wars Episode 1","273.91"
"Aquaraiders II","274.33"
"Fantasy Era","276.21"
"Factory","277.29"
"Vehicles","279.00"
"Batman","280.49"
"Star Wars Episode 3","282.44"
"Creator","282.50"
"Pirates","286.13"
"Kingdoms","287.75"
"Planet Series 3","290.00"
"Blacktron I","290.57"
"Inventor","291.00"
"Dino 2010","292.00"
"The Battle of the Five Armies","293.33"
"Town","293.58"
"Last Crusade","294.00"
"Pirates II","295.45"
"World Racers","296.25"
"Harry Potter","297.04"
"Traffic","297.38"
"Basic Set","297.77"
"Classic Castle","298.43"
"Architecture","300.64"
"Competition","302.65"
"The Desolation of Smaug","303.50"
"Airport","303.59"
"Star Wars Episode 2","303.70"
"Scooby-Doo","304.83"
"Hobby Sets","305.17"
"Race","308.23"
"Elves","308.23"
"Avengers","310.04"
"Star Wars","310.09"
"The Lone Ranger","310.25"
"Prince of Persia","310.67"
"Robot","311.67"
"Raiders of the Lost Ark","311.80"
"Arctic Technic","312.25"
"SpongeBob SquarePants","312.36"
"Mars Mission","313.53"
"Riding Cycle","314.00"
"An Unexpected Journey","314.22"
"Dino","317.71"
"12V","319.43"
"Star Wars Rebels","323.36"
"Speed Champions","327.91"
"The Fellowship of the Ring","329.40"
"Space","335.00"
"Teenage Mutant Ninja Turtles","335.05"
"9V","336.92"
"Castle","337.00"
"Star Wars Rogue One","340.79"
"Supplemental","343.57"
"Kingdom of the Crystal Skull","347.25"
"Unitron","349.25"
"Star Wars Clone Wars","350.84"
"Learning","354.17"
"Speed Racer","360.25"
"Playsets","361.92"
"Galaxy Squad","364.00"
"Discovery","364.75"
"My Own Creation","367.50"
"Monster Fighters","369.13"
"Rahi","373.20"
"Airport","375.20"
"Classic","382.36"
"Pirates of the Caribbean","384.59"
"Track System","385.00"
"Airport","385.33"
"Off-Road","388.88"
"Supplemental","388.95"
"The LEGO Movie","392.07"
"Skylines","395.00"
"Angry Birds","395.50"
"Vikings","398.29"
"Jungle","400.50"
"Jurassic World","404.57"
"Goblet of Fire","417.80"
"Star Wars Episode 4/5/6","419.82"
"Ferrari","420.16"
"Ultra Agents","420.47"
"Agents","429.77"
"Battle Vehicles","430.33"
"NXT","434.00"
"Temple of Doom","448.00"
"Creature","449.75"
"Building Set with People","469.50"
"Castle","471.00"
"Educational and Dacta","473.24"
"Town","476.47"
"Minecraft","508.93"
"Basic Set","511.84"
"RCX","526.86"
"Master Building Academy","539.00"
"The Return of the King","545.33"
"Ghostbusters","552.00"
"Avatar","562.00"
"Traffic","563.00"
"Model","563.55"
"Trains","580.60"
"LEGO Ideas and CUUSOO","592.24"
"RC Train","595.00"
"Space","598.00"
"Construction","600.44"
"Star Wars","618.00"
"My Own Creation","629.00"
"Universal Building Set","649.77"
"Fire","664.25"
"Farm","665.00"
"Building","667.00"
"Star Wars Episode 2","675.00"
"Model Team","683.19"
"Model","693.64"
"eLAB","713.00"
"Lamborghini","770.00"
"Fire","771.00"
"Williams F1","787.50"
"Mindstorms","850.40"
